###2558	4.3	0.8	1.7	2L_RaGOO	1	356	353	+	IVK_DM	LINE/I	5010	5362	(40)	1	1	0.065

###6323/2817	9.604	2.546	1.295	2L_RaGOO	366	2025	1806	C	DM297_I	LTR/Gypsy	(2214)	3953	1307	2/2	2	0.258
6323	10.4	2.7	1.5	2L_RaGOO	366	1599	1374	C	DM297_I	LTR/Gypsy	(2214)	3953	2580	2	1
2817	7.3	2.1	0.7	2L_RaGOO	1600	2025	432	C	DM297_I	LTR/Gypsy	(4429)	1738	1307	2	1

###1128	4.3	1.2	0.6	2L_RaGOO	4083	4246	165	+	TAHRE	LINE/I-Jockey	10294	10458	(5)	3	1	0.016

###444	3.0	9.0	1.4	2L_RaGOO	4237	4303	72	+	TAHRE	LINE/I-Jockey	10380	10451	(12)	4	1	0.007

###1177/3810/3838	4.364	7.136	4.677	2L_RaGOO	4304	8214	781	+	TART-A	LINE/I-Jockey	14586	15366	(210)	5/5/10	3	0.050
1177	5.9	0.1	0.3	2L_RaGOO	4304	4472	144	+	TART-A	LINE/I-Jockey	14586	14729	(847)	5	1
3810	5.2	4.6	5.2	2L_RaGOO	4475	5129	572	+	TART-A	LINE/I-Jockey	14686	15257	(319)	5	1
3838	3.1	11.6	5.3	2L_RaGOO	7575	8214	681	+	TART-A	LINE/I-Jockey	14686	15366	(210)	10	1

###786	2.8	2.7	0.9	2L_RaGOO	5123	5232	112	+	HETA	LINE/I-Jockey	5651	5762	(319)	6	1	0.018

###1720/1196	6.345	0.620	3.259	2L_RaGOO	5229	7346	273	+	TAHRE	LINE/I-Jockey	10186	10458	(5)	7/8	2	0.026
1720	6.8	0.0	4.5	2L_RaGOO	5229	5506	266	+	TAHRE	LINE/I-Jockey	10186	10451	(12)	7	1
1196	5.7	1.5	1.5	2L_RaGOO	7151	7346	196	+	TAHRE	LINE/I-Jockey	10263	10458	(5)	8	1

###6557/2479/444	5.476	3.883	4.061	2L_RaGOO	5506	7403	1662	+	TAHRE	LINE/I-Jockey	7044	10451	(12)	8/8/9	3	0.159
6557	5.6	4.3	5.1	2L_RaGOO	5506	6777	1237	+	TAHRE	LINE/I-Jockey	7044	8280	(2183)	8	1
2479	5.5	1.4	0.8	2L_RaGOO	6789	7139	353	+	TAHRE	LINE/I-Jockey	9815	10167	(296)	8	1
444	3.0	9.0	1.4	2L_RaGOO	7337	7403	72	+	TAHRE	LINE/I-Jockey	10380	10451	(12)	9	1

###1164	6.5	0.1	0.3	2L_RaGOO	7404	7572	144	+	TART-A	LINE/I-Jockey	14586	14729	(847)	10	1	0.009

###405/7441/1757	7.294	3.367	1.069	2L_RaGOO	8208	9729	1472	+	MDG1_LTR	LTR/Gypsy	NA	NA	NA	11/11/11	3	0.197
405	9.9	0.0	1.4	2L_RaGOO	8208	8278	70	+	MDG1_LTR	LTR/Gypsy	343	412	(30)	11	1
7441	7.7	3.9	1.2	2L_RaGOO	8279	9474	1227	+	MDG1_I	LTR/Gypsy	1	1227	(5369)	11	1
1757	4.8	1.9	0.4	2L_RaGOO	9460	9729	274	+	MDG1_I	LTR/Gypsy	1129	1402	(5194)	11	1

###4964	2.5	6.0	0.8	2L_RaGOO	10009	10694	721	C	ZAM_I	LTR/Gypsy	(5806)	1684	964	13	1	0.085

###5694/9768/39260/5380	1.052	0.460	0.258	2L_RaGOO	10703	23126	7710	C	QUASIMODO_LTR	LTR/Gypsy	NA	NA	NA	14/14/14/14	4	1.045
5694	0.0	0.0	0.0	2L_RaGOO	10703	11360	658	C	QUASIMODO_LTR	LTR/Gypsy	(0)	658	1	14	1
