Family	Min_TE_length	Max_TE_length	Counts	nb_of_insertion	nb_of_expressed_insertion	Most_expressed_insertion
DM297	101	10824	17	129	12	DM297_I_3L_RaGOO_23554210_23561573
MDG1	129	12111	23	86	15	MDG1_I_3L_RaGOO_26187065_26193623
ZAM	174	14968	31	56	10	ZAM_LTR_3R_RaGOO_3216098_3221945
QUASIMODO	127	12745	168	144	29	QUASIMODO_I_2R_RaGOO_3940692_3953437
Copia	101	8722	310	46	13	Copia_LTR_3L_RaGOO_10022428_10027467
BLASTOPIA	115	5028	179	45	11	BLASTOPIA_LTR_3R_RaGOO_8215021_8220047
IDEFIX	106	10843	65	147	12	IDEFIX_I_2R_RaGOO_1769992_1776196
ROO	101	15803	199	439	47	ROO_I_3R_RaGOO_14005164_14015074
BLOOD	197	11421	1	16	1	BLOOD_LTR_X_RaGOO_21195612_21207033
TRANSPAC	244	5251	116	14	12	TRANSPAC_LTR_3R_RaGOO_21217775_21223024
NOMAD	118	10512	599	63	19	NOMAD_I_X_RaGOO_21274295_21280935
ACCORD2	103	14301	13	96	6	ACCORD2_LTR_3R_RaGOO_2682514_2690116
MICROPIA	108	8922	51	118	21	MICROPIA_I_X_RaGOO_17340828_17345349
BURDOCK	110	9008	58	32	10	BURDOCK_LTR_3L_RaGOO_10638503_10641077
MDG3	106	6745	8	28	5	MDG3_LTR_X_RaGOO_14587062_14592565
DIVER	146	10026	3	15	2	DIVER_LTR_3L_RaGOO_23629771_23635886
Gypsy6A	107	7605	13	56	4	Gypsy6A_LTR_2R_RaGOO_2808245_2809716
Invader3	113	7829	6	56	3	Invader3_I_2R_RaGOO_4009780_4011606
Invader4	102	8910	3	39	1	Invader4_LTR_4_RaGOO_899649_902725
Invader2	128	7609	6	62	5	Invader2_I_3R_RaGOO_2202811_2209678
STALKER4	106	11863	9	114	6	STALKER4_LTR_3L_RaGOO_23405298_23415957
Chimpo	204	4571	2	16	1	Chimpo_LTR_3L_RaGOO_16584918_16588544
TIRANT	115	10225	71	28	7	TIRANT_LTR_2L_RaGOO_22323129_22326580
Copia1	202	4280	20	19	1	Copia1-I_DM_2R_RaGOO_2841061_2845341
GTWIN	120	10863	2	75	2	GTWIN_LTR_X_RaGOO_21148680_21156063
DM412B	107	8866	5	20	3	DM412B_LTR_X_RaGOO_11799809_11807235
BEL	101	8015	27	32	11	BEL_LTR_3R_RaGOO_11276926_11283012
Gypsy5	111	11172	1	46	1	Gypsy5_LTR_3L_RaGOO_22847293_22850119
BATUMI	103	15405	15	56	6	BATUMI_LTR_3L_RaGOO_24966975_24975533
Gypsy4	114	12393	9	85	6	Gypsy4_I_3R_RaGOO_2581096_2590835
Gypsy9	105	8887	24	45	5	Gypsy9_LTR_3L_RaGOO_24678043_24682992
MAX	108	13374	40	70	8	MAX_LTR_3L_RaGOO_24378598_24386713
Invader6	111	7833	8	45	3	Invader6_I_3L_RaGOO_25623224_25628102
Gypsy12A	115	9469	59	93	8	Gypsy12A_LTR_3R_RaGOO_2983183_2987827
Copia2	167	4518	9	45	5	Copia2_I_3L_RaGOO_25902823_25904087
Gypsy1	120	10441	34	58	1	Gypsy1-I_DM_3L_RaGOO_24127725_24132950
Chouto	104	9537	22	49	4	Chouto_I_2L_RaGOO_21770014_21779551
NINJA	122	6158	10	46	5	NINJA_LTR_3R_RaGOO_615399_620854
Gypsy8	102	8878	8	209	6	Gypsy8_I_2R_RaGOO_2534282_2536641
Invader1	111	4868	5	100	3	Invader1_LTR_3L_RaGOO_25028557_25031534
DM176	102	12780	35	54	5	DM176_I_2R_RaGOO_196886_202183
Gypsy	102	12951	160	101	7	Gypsy_I_2R_RaGOO_2048940_2052346
DIVER2	105	7967	75	142	12	DIVER2_I_3L_RaGOO_25501168_25506583
Bica	109	6035	4	32	4	Bica_LTR_3R_RaGOO_2884824_2888297
Gypsy12	103	11394	97	72	7	Gypsy12_LTR_3R_RaGOO_842982_854376
FROGGER	102	4360	42	22	1	FROGGER_LTR_2R_RaGOO_3942161_3946521
Invader5	126	6420	1	20	1	Invader5_LTR_2L_RaGOO_22457804_22464224
Gypsy2	104	11000	15	141	9	Gypsy2-I_DM_2R_RaGOO_545702_556702
HMSBEAGLE	111	12457	4	76	1	HMSBEAGLE_I_X_RaGOO_20979244_20982827
Gypsy11	103	6280	1	36	1	Gypsy11_I_3L_RaGOO_23964102_23970382
Gypsy6	114	9867	4	68	3	Gypsy6_I_3R_RaGOO_2873847_2883714
DMTOM1	120	8006	2	20	2	DMTOM1_LTR_3L_RaGOO_25153928_25157456
DM1731	125	7685	43	28	4	DM1731_LTR_3L_RaGOO_24209333_24213898
Gypsy7	144	8623	2	48	2	Gypsy7_I_3R_RaGOO_2144633_2152892
Gypsy3	114	9346	1	29	1	Gypsy3_I_3L_RaGOO_25880992_25890338
Gypsy10	157	6909	517	35	5	Gypsy10_LTR_3R_RaGOO_760951_766941
TOM	105	12151	4	40	3	TOM_I_3R_RaGOO_767843_779994
ROOA	111	11278	4	54	4	ROOA_I_2R_RaGOO_3369128_3375460
QUASIMODO2	125	6492	3	24	3	QUASIMODO2-I_DM_3R_RaGOO_777690_778919
ACCORD	113	7206	2	17	2	ACCORD_LTR_2R_RaGOO_10985734_10986218
ROVER	117	13831	5	43	5	ROVER-I_DM_X_RaGOO_21298736_21304020
TABOR	107	7255	6	24	4	TABOR_I_3L_RaGOO_26463268_26469739
Stalker3	329	387	0	4	0	Stalker3_LTR_3L_RaGOO_26480807_26481192
Stalker2	125	7964	27	33	3	Stalker2_I_3L_RaGOO_23418557_23425113
