Subclass	Superfamily	Family	Insertion	Count	Reads	mean_subcov
LINE	I	IVK_DM	IVK_DM$2L_RaGOO$1$356	0	set()	0.0
LTR	Gypsy	DM297_I	DM297_I$2L_RaGOO$366$2025	0	set()	0.0
LINE	I-Jockey	TAHRE	TAHRE$2L_RaGOO$4083$4246	0	set()	0.0
LINE	I-Jockey	TART-A	TART-A$2L_RaGOO$4304$8214	0	set()	0.0
LINE	I-Jockey	TAHRE	TAHRE$2L_RaGOO$5229$7346	0	set()	0.0
LINE	I-Jockey	TAHRE	TAHRE$2L_RaGOO$5506$7403	0	set()	0.0
LINE	I-Jockey	TART-A	TART-A$2L_RaGOO$7404$7572	0	set()	0.0
LTR	Gypsy	MDG1_LTR	MDG1_LTR$2L_RaGOO$8208$9729	0	set()	0.0
LTR	Gypsy	ZAM_I	ZAM_I$2L_RaGOO$10009$10694	0	set()	0.0
LTR	Gypsy	QUASIMODO_LTR	QUASIMODO_LTR$2L_RaGOO$10703$23126	0	set()	0.0
LTR	Copia	Copia_LTR	Copia_LTR$2L_RaGOO$12650$17604	1	{<pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f797ee0>}	0.9444893015744853
LTR	Gypsy	QUASIMODO_I	QUASIMODO_I$2L_RaGOO$23127$26120	0	set()	0.0
LTR	Gypsy	MDG1_LTR	MDG1_LTR$2L_RaGOO$24752$25694	0	set()	0.0
LTR	Gypsy	BLASTOPIA_I	BLASTOPIA_I$2L_RaGOO$26796$29201	0	set()	0.0
DNA	hAT-hobo	HOBO	HOBO$2L_RaGOO$29304$30758	0	set()	0.0
DNA	CMC-Transib	M4DM	M4DM$2L_RaGOO$30759$32079	0	set()	0.0
DNA	hAT-hobo	HOBO	HOBO$2L_RaGOO$35232$36617	0	set()	0.0
DNA	hAT-hobo	HOBO	HOBO$2L_RaGOO$36718$38264	0	set()	0.0
LINE	I-Jockey	TAHRE	TAHRE$2L_RaGOO$38366$47731	1	{<pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7b55e0>}	0.11169247197010145
DNA	RC	DNAREP1_DM	DNAREP1_DM$2L_RaGOO$93733$93981	1	{<pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7b5520>}	1.0
DNA	RC	DNAREP1_DM	DNAREP1_DM$2L_RaGOO$97097$97338	0	set()	0.0
DNA	RC	DNAREP1_DM	DNAREP1_DM$2L_RaGOO$124715$125248	2	{<pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7b57c0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7b5760>}	1.0
LINE	I-Jockey	BS2	BS2$2L_RaGOO$128782$129373	0	set()	0.0
DNA	RC	DNAREP1_DM	DNAREP1_DM$2L_RaGOO$180928$181388	33	{<pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7b58e0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7b5820>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7be100>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7be2e0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7be460>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7b5b20>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7b59a0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7b5dc0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7be280>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7b5be0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7b5ca0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7b5d60>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7be3a0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7be160>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7be340>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7b5a60>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7b5ac0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7b5c40>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7be0a0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7b5a00>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7be220>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7be040>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7be1c0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7b5f40>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7b5880>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7be400>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7b5d00>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7b5b80>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7b5ee0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7b5fa0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7b5940>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7b5e80>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7b5e20>}	1.0
DNA	RC	DNAREP1_DM	DNAREP1_DM$2L_RaGOO$237259$237456	7	{<pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7be5e0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7be640>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7be6a0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7be820>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7be760>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7be700>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7be7c0>}	1.0
DNA	RC	DNAREP1_DM	DNAREP1_DM$2L_RaGOO$242913$243212	0	set()	0.0
DNA	RC	DNAREP1_DM	DNAREP1_DM$2L_RaGOO$244451$244726	0	set()	0.0
DNA	hAT-hobo	HOBO	HOBO$2L_RaGOO$372391$373898	8	{<pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7be940>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7be880>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7b5700>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7be9a0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7be4c0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7be580>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7be8e0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7be520>}	1.0
DNA	RC	DNAREP1_DM	DNAREP1_DM$2L_RaGOO$687610$687837	0	set()	0.0
LTR	Pao	ROO_LTR	ROO_LTR$2L_RaGOO$833659$841384	0	set()	0.0
LTR	Gypsy	MDG1_LTR	MDG1_LTR$2L_RaGOO$1126248$1133534	4	{<pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7bebe0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7beb80>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7bea60>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7beb20>}	0.8743137524018666
LTR	Unknown	XDMR	XDMR$2L_RaGOO$1258931$1259139	0	set()	0.0
LINE	I-Jockey	FW2_DM	FW2_DM$2L_RaGOO$1444418$1448277	0	set()	0.0
LTR	Pao	ROO_I	ROO_I$2L_RaGOO$1537349$1537503	1	{<pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7bec40>}	1.0
LTR	Pao	ROO_LTR	ROO_LTR$2L_RaGOO$1554051$1563114	0	set()	0.0
LINE	I	I_DM	I_DM$2L_RaGOO$1625948$1627478	0	set()	0.0
LTR	Gypsy	IDEFIX_LTR	IDEFIX_LTR$2L_RaGOO$1825562$1826127	1	{<pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7beca0>}	1.0
LTR	Gypsy	IDEFIX_I	IDEFIX_I$2L_RaGOO$1826802$1833031	0	set()	0.0
DNA	hAT-hobo	HOBO	HOBO$2L_RaGOO$2112298$2113807	0	set()	0.0
LTR	Gypsy	BLOOD_LTR	BLOOD_LTR$2L_RaGOO$2148055$2155527	5	{<pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7bedc0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7beee0>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7bee20>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7bed60>, <pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f7bee80>}	0.1812098501070664
LTR	Pao	ROO_LTR	ROO_LTR$2L_RaGOO$2211041$2220159	1	{<pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f73f040>}	1.0
LTR	Gypsy	TRANSPAC_LTR	TRANSPAC_LTR$2L_RaGOO$2221225$2226474	1	{<pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f73f100>}	0.15069537054677082
DNA	hAT-hobo	HOBO	HOBO$2L_RaGOO$2751039$2752553	1	{<pysam.libcalignedsegment.AlignedSegment object at 0x7fa95f73f1c0>}	1.0
